,Metropolitan area,Population_2016,NFL,MLB,NBA,NHL
0,New York City,20153634,GiantsJets[note 1],YankeesMets[note 2],KnicksNets,RangersIslandersDevils[note 3]
1,Los Angeles,13310447,RamsChargers[note 4],DodgersAngels,LakersClippers,KingsDucks
2,Chicago,9512999,Bears[note 6],CubsWhite Sox,Bulls[note 7],Blackhawks
3,San Francisco Bay Area,6657982,49ers[note 8],GiantsAthletics,Warriors,Sharks[note 9]
4,Dallas–Fort Worth,7233323,Cowboys,Rangers,Mavericks,Stars
5,"Washington, D.C.",6131977,Commanders[note 10],Nationals[note 11],Wizards[note 12],Capitals
6,Philadelphia,6070500,Eagles,Phillies[note 13],76ers,Flyers[note 14]
7,Miami–Fort Lauderdale,6066387,Dolphins,Marlins,Heat,Panthers
8,Boston,4794447,Patriots[note 16],Red Sox[note 17],Celtics,Bruins
9,Minneapolis–Saint Paul,3551036,Vikings,Twins,Timberwolves[note 18],Wild[note 19]
10,Denver,2853077,Broncos,Rockies,Nuggets[note 20],Avalanche[note 21]
11,Phoenix,4661537,Cardinals,Diamondbacks,Suns,Coyotes
12,Detroit,4297617,Lions,Tigers[note 22],Pistons[note 23],Red Wings
13,Toronto,5928040,— [note 24],Blue Jays,Raptors[note 25][note 26],Maple Leafs
14,Houston,6772470,Texans[note 27],Astros,Rockets,—
15,Atlanta,5789700,Falcons,Braves,Hawks,[note 28]
16,Seattle,3798902,Seahawks,Mariners,[note 29],Kraken
17,Tampa Bay Area,3032171,Buccaneers,Rays,[note 30],Lightning
18,Pittsburgh,2342299,Steelers,Pirates,[note 32],Penguins[note 33]
19,Cleveland,2055612,Browns[note 34],Guardians[note 35],Cavaliers[note 36],[note 37]
20,Cincinnati,2165139,Bengals,Reds[note 38],[note 39],—
21,Kansas City,2104509,Chiefs,Royals[note 40],[note 41],[note 42]
22,Nashville,1865298,Titans,—,—,Predators
23,Charlotte,2474314,Panthers,—,Hornets[note 43],—
24,St. Louis,2807002,[note 44],Cardinals[note 45],[note 46],Blues[note 47]
25,Baltimore,2798886,Ravens[note 49],Orioles[note 50],[note 51],—
26,Las Vegas,2155664,Raiders,—,[note 53],Golden Knights
27,Indianapolis,2004230,Colts,[note 55],Pacers[note 56],—
28,Milwaukee,1572482,[note 57],Brewers[note 58],Bucks,—
29,New Orleans,1268883,Saints,—,Pelicans[note 59],—
30,Buffalo,1132804,Bills[note 60],[note 61],[note 62],Sabres
31,Montreal,4098927,—,[note 63],—,Canadiens
32,Vancouver,2463431,—,—,[note 64],Canucks
33,Orlando,2441257,—,—,Magic,—
34,Portland,2424955,—,—,Trail Blazers,—
35,Columbus,2041520,—,—,—,Blue Jackets
36,Calgary,1392609,—,—,—,Flames
37,Ottawa,1323783,—,—,—,Senators
38,Edmonton,1321426,—,—,—,Oilers
39,Salt Lake City,1186187,—,—,Jazz,—
40,Winnipeg,778489,—,—,—,Jets[note 66]
41,San Diego,3317749,[note 67],Padres,[note 68],—
42,San Antonio,2429609,[note 69],—,Spurs,—
43,Sacramento,2296418,—,—,Kings,—
44,Jacksonville,1478212,Jaguars,—,—,—
45,Oklahoma City,1373211,—,—,Thunder[note 72],—
46,Memphis,1342842,[note 73],—,Grizzlies,—
47,Raleigh,1302946,—,—,—,Hurricanes
48,Green Bay,318236,Packers,—,—,—
49,Austin,2227083,—,—,—,—
50,Hamilton,747545,—,—,—,[note 75]
51,Regina,236481,—,—,—,—
