,Teams,W,L,W/L%,GB,PS/G,PA/G,SRS,Metropolitan area,ratio
15,Houston Rockets,65,17,0.793,—,112.4,103.9,8.21,Houston,0.7926829268292683
0,Toronto Raptors,59,23,0.72,—,111.7,103.9,7.29,Toronto,0.7195121951219512
16,Golden State Warriors,58,24,0.707,7.0,113.5,107.5,5.79,San Francisco Bay Area,0.7073170731707317
1,Boston Celtics,55,27,0.671,4.0,104.0,100.4,3.23,Boston,0.6707317073170732
2,Philadelphia 76ers,52,30,0.634,7.0,109.8,105.3,4.3,Philadelphia,0.6341463414634146
3,Cleveland Cavaliers,50,32,0.61,9.0,110.9,109.9,0.59,Cleveland,0.6097560975609756
17,Portland Trail Blazers,49,33,0.598,16.0,105.6,103.0,2.6,Portland,0.5975609756097561
4,Indiana Pacers,48,34,0.585,11.0,105.6,104.2,1.18,Indianapolis,0.5853658536585366
20,New Orleans Pelicans,48,34,0.585,17.0,111.7,110.4,1.48,New Orleans,0.5853658536585366
19,Utah Jazz,48,34,0.585,17.0,104.1,99.8,4.47,Salt Lake City,0.5853658536585366
18,Oklahoma City Thunder,48,34,0.585,17.0,107.9,104.4,3.42,Oklahoma City,0.5853658536585366
22,Minnesota Timberwolves,47,35,0.573,18.0,109.5,107.3,2.35,Minneapolis–Saint Paul,0.573170731707317
21,San Antonio Spurs,47,35,0.573,18.0,102.7,99.8,2.89,San Antonio,0.573170731707317
23,Denver Nuggets,46,36,0.561,19.0,110.0,108.5,1.57,Denver,0.5609756097560976
6,Milwaukee Bucks,44,38,0.537,15.0,106.5,106.8,-0.45,Milwaukee,0.5365853658536586
5,Miami Heat,44,38,0.537,15.0,103.4,102.9,0.15,Miami–Fort Lauderdale,0.5365853658536586
7,Washington Wizards,43,39,0.524,16.0,106.6,106.0,0.53,"Washington, D.C.",0.524390243902439
24,Los Angeles Clippers,42,40,0.512,23.0,109.0,109.0,0.15,Los Angeles,0.5121951219512195
8,Detroit Pistons,39,43,0.476,20.0,103.8,103.9,-0.26,Detroit,0.47560975609756095
9,Charlotte Hornets,36,46,0.439,23.0,108.2,108.0,0.07,Charlotte,0.43902439024390244
25,Los Angeles Lakers,35,47,0.427,30.0,108.1,109.6,-1.44,Los Angeles,0.4268292682926829
10,New York Knicks,29,53,0.354,30.0,104.5,108.0,-3.53,New York City,0.35365853658536583
11,Brooklyn Nets,28,54,0.341,31.0,106.6,110.3,-3.67,New York City,0.34146341463414637
12,Chicago Bulls,27,55,0.329,32.0,102.9,110.0,-6.84,Chicago,0.32926829268292684
26,Sacramento Kings,27,55,0.329,38.0,98.8,105.8,-6.6,Sacramento,0.32926829268292684
13,Orlando Magic,25,57,0.305,34.0,103.4,108.2,-4.92,Orlando,0.3048780487804878
14,Atlanta Hawks,24,58,0.293,35.0,103.4,108.8,-5.3,Atlanta,0.2926829268292683
27,Dallas Mavericks,24,58,0.293,41.0,102.3,105.4,-2.7,Dallas–Fort Worth,0.2926829268292683
28,Memphis Grizzlies,22,60,0.268,43.0,99.3,105.5,-5.81,Memphis,0.2682926829268293
29,Phoenix Suns,21,61,0.256,44.0,103.9,113.3,-8.8,Phoenix,0.25609756097560976
