,Teams,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS,Metropolitan area,ratio
28,Los Angeles Rams,13,3,0,.813,527,384,143,8.9,-0.4,8.5,9.5,-1.1,Los Angeles,0.8125
24,New Orleans Saints,13,3,0,.813,504,353,151,9.4,0.6,10.1,7.9,2.2,New Orleans,0.8125
20,Chicago Bears,12,4,0,.750,421,283,138,8.6,-2.3,6.3,1.5,4.8,Chicago,0.75
13,Los Angeles Chargers,12,4,0,.750,428,329,99,6.2,-0.2,6.0,3.0,2.9,Los Angeles,0.75
12,Kansas City Chiefs,12,4,0,.750,565,421,144,9.0,-0.1,8.9,12.6,-3.8,Kansas City,0.75
0,New England Patriots,11,5,0,.688,436,325,111,6.9,-1.8,5.2,3.1,2.1,Boston,0.6875
8,Houston Texans,11,5,0,.688,402,316,86,5.4,-1.5,3.8,2.4,1.4,Houston,0.6875
9,Indianapolis Colts,10,6,0,.625,433,344,89,5.6,-2.2,3.4,3.9,-0.6,Indianapolis,0.625
29,Seattle Seahawks,10,6,0,.625,428,347,81,5.1,-0.6,4.5,3.0,1.5,Seattle,0.625
16,Dallas Cowboys,10,6,0,.625,339,324,15,0.9,0.2,1.1,-1.9,2.9,Dallas–Fort Worth,0.625
4,Baltimore Ravens,10,6,0,.625,389,287,102,6.4,0.6,7.0,0.6,6.4,Baltimore,0.625
5,Pittsburgh Steelers,9,6,1,.594,428,360,68,4.3,1.3,5.6,3.9,1.7,Pittsburgh,0.6
10,Tennessee Titans,9,7,0,.563,310,303,7,0.4,-0.2,0.2,-3.2,3.5,Nashville,0.5625
17,Philadelphia Eagles,9,7,0,.563,367,348,19,1.2,0.5,1.7,0.0,1.8,Philadelphia,0.5625
21,Minnesota Vikings,8,7,1,.531,360,341,19,1.2,-0.6,0.6,-1.2,1.8,Minneapolis–Saint Paul,0.5333333333333333
6,Cleveland Browns,7,8,1,.469,359,392,-33,-2.1,1.7,-0.3,-1.0,0.6,Cleveland,0.4666666666666667
18,Washington Redskins,7,9,0,.438,281,359,-78,-4.9,-0.1,-4.9,-5.6,0.6,"Washington, D.C.",0.4375
1,Miami Dolphins,7,9,0,.438,319,433,-114,-7.1,-1.7,-8.8,-3.6,-5.2,Miami–Fort Lauderdale,0.4375
25,Atlanta Falcons,7,9,0,.438,414,423,-9,-0.6,0.4,-0.1,2.5,-2.6,Atlanta,0.4375
26,Carolina Panthers,7,9,0,.438,376,382,-6,-0.4,1.3,0.9,0.1,0.8,Charlotte,0.4375
22,Green Bay Packers,6,9,1,.406,376,400,-24,-1.5,-1.2,-2.7,0.0,-2.7,Green Bay,0.4
23,Detroit Lions,6,10,0,.375,324,360,-36,-2.3,-0.8,-3.0,-3.3,0.3,Detroit,0.375
2,Buffalo Bills,6,10,0,.375,269,374,-105,-6.6,-0.3,-6.9,-6.3,-0.6,Buffalo,0.375
14,Denver Broncos,6,10,0,.375,329,349,-20,-1.3,0.7,-0.5,-3.6,3.1,Denver,0.375
7,Cincinnati Bengals,6,10,0,.375,368,455,-87,-5.4,2.0,-3.4,0.0,-3.4,Cincinnati,0.375
19,New York Giants,5,11,0,.313,369,412,-43,-2.7,0.5,-2.2,0.8,-2.9,New York City,0.3125
11,Jacksonville Jaguars,5,11,0,.313,245,316,-71,-4.4,0.4,-4.0,-8.1,4.0,Jacksonville,0.3125
27,Tampa Bay Buccaneers,5,11,0,.313,396,464,-68,-4.3,1.7,-2.6,2.0,-4.6,Tampa Bay Area,0.3125
30,San Francisco 49ers,4,12,0,.250,342,435,-93,-5.8,0.3,-5.5,-2.5,-3.1,San Francisco Bay Area,0.25
15,Oakland Raiders,4,12,0,.250,290,467,-177,-11.1,1.8,-9.3,-5.2,-4.1,San Francisco Bay Area,0.25
3,New York Jets,4,12,0,.250,333,441,-108,-6.8,-1.1,-7.8,-2.0,-5.9,New York City,0.25
31,Arizona Cardinals,3,13,0,.188,225,425,-200,-12.5,1.0,-11.5,-9.6,-1.9,Phoenix,0.1875
